,EURUSD,USDJPY,GBPUSD,USDCHF,AUDUSD,USDCAD,NZDUSD,CHFJPY,EURJPY,EURAUD,GBPAUD,CADJPY,NZDJPY,EURCAD,GBPCAD,USDTRY,USDINR,USDBRL,USDZAR,USDSEK
GBPAUD,-0.06342305364459422,-0.045471390611511946,0.2137682329537091,0.04630936644658169,-0.07913214175288112,0.3598934605837532,-0.47156928911497076,-0.10588539178866829,-0.15589342752257906,0.7117156577564802,1.0,-0.31447023632721716,-0.4526920309579711,0.2296788188532568,0.5675053839190293,0.22644500306515242,0.13915037438477362,0.21090539530309538,0.27515177902110677,0.20879989013647712
CADJPY,0.10221802254253316,0.643238258162838,0.19003818259829286,0.09599828929103091,0.04686898770774616,-0.6373591477372474,0.3352235099034635,0.570128719270414,0.7420619083759703,-0.39657928901604117,-0.31447023632721716,1.0,0.768781568306297,-0.506287349963916,-0.40787506926492356,-0.27867692581587405,-0.17698084532102176,-0.2238053652707189,-0.3023343824886288,-0.23473919799189683
NZDJPY,0.23953704236741438,0.4797897246925217,0.3520275182864157,-0.07163288699773583,0.0777686969841633,-0.49317881960246285,0.7344133063671178,0.555384045584049,0.7236883798577479,-0.5246125128307872,-0.4526920309579711,0.768781568306297,1.0,-0.17911089402345998,-0.104065729813076,-0.3354602358973663,-0.22501952166501474,-0.2544179092637681,-0.39358905178091774,-0.3918721551961891
EURCAD,0.4366643299481563,-0.2341594980267509,0.18668594996201157,-0.3981962892600577,-0.005148351444546889,0.4476767330192727,0.002131538842743641,0.12779941775400197,0.19594111291348212,0.5425071310928348,0.2296788188532568,-0.506287349963916,-0.17911089402345998,1.0,0.6127405087303902,0.03641136853332499,0.008784134375460842,0.05886040189745987,0.029736021277503324,-0.2965550193012022
GBPCAD,0.15055914250731223,-0.13650916514186745,0.5669546439441421,-0.16550220420075687,-0.0017182158416537117,0.4306023395138674,0.0034657765379407053,0.014336473600421992,0.009350323207909426,0.22136294086126032,0.5675053839190293,-0.40787506926492356,-0.104065729813076,0.6127405087303902,1.0,0.0635243264515344,0.00916170481210715,0.05536646850063368,0.03808990800788271,-0.09587658725657873
USDTRY,-0.22803985655156334,-0.0788030782210718,-0.23784120163205996,0.12189985293846028,-0.042956032717350795,0.32571345778650596,-0.34309948069995394,-0.1834313431656833,-0.291986715863187,0.20540502893241588,0.22644500306515242,-0.27867692581587405,-0.3354602358973663,0.03641136853332499,0.0635243264515344,1.0,0.1857148836696467,0.26011451008072484,0.3938958969043438,0.30442955303381547
USDINR,-0.1763497574742251,0.0017340041693573,-0.2135946169314177,0.14593093039657176,-0.03328640987938669,0.24191504055428398,-0.2575135027922773,-0.1491277266436309,-0.19368416200106806,0.14661728830608556,0.13915037438477362,-0.17698084532102176,-0.22501952166501474,0.008784134375460842,0.00916170481210715,0.1857148836696467,1.0,0.22284415448632167,0.2309156337918848,0.24298027971340244
USDBRL,-0.14688029064204702,0.029422059345772578,-0.226030182128313,0.12555884320794042,-0.043438619366917716,0.3056438863357598,-0.28656757728322424,-0.12986682953606138,-0.20374292780851497,0.22067491204506753,0.21090539530309538,-0.2238053652707189,-0.2544179092637681,0.05886040189745987,0.05536646850063368,0.26011451008072484,0.22284415448632167,1.0,0.3156237687289703,0.26628593754438795
USDZAR,-0.32591808358290675,-0.007373912627597339,-0.3722203430580958,0.23648609199957107,-0.061688889237193754,0.44771164154333914,-0.46939149555314863,-0.21667343088338148,-0.3156238667694636,0.2727462532100856,0.27515177902110677,-0.3023343824886288,-0.39358905178091774,0.029736021277503324,0.03808990800788271,0.3938958969043438,0.2309156337918848,0.3156237687289703,1.0,0.4398438277529457
USDSEK,-0.6850952974325748,0.13356260890454857,-0.5912352645657215,0.541199300848224,-0.07665294009018683,0.5362487062490977,-0.605664878296199,-0.3625541642060946,-0.48803224745092894,0.04872594333264799,0.20879989013647712,-0.23473919799189683,-0.3918721551961891,-0.2965550193012022,-0.09587658725657873,0.30442955303381547,0.24298027971340244,0.26628593754438795,0.4398438277529457,1.0
